iter	MAPE	MAE
94	0.1124814794	1763.367698
95	0.1123203918	1760.218324
96	0.1121009197	1755.779901
97	0.1118337882	1751.606206
98	0.1116667882	1748.198974
99	0.1115423389	1745.802522
100	0.1113858541	1743.693048
101	0.111227369	1741.65825
102	0.1110616121	1738.170243
103	0.1109226775	1736.129543
104	0.1107736574	1733.909866
105	0.1105857451	1731.180125
106	0.1104560779	1728.51306
107	0.1102816313	1725.175485
108	0.1100828093	1722.143585
109	0.1099702686	1719.846042
110	0.1098096084	1717.727945
111	0.1095932561	1714.276935
112	0.1094564963	1712.700316
113	0.1093374134	1710.52308
114	0.1092375361	1708.697876
115	0.1091304657	1706.16337
116	0.1090031872	1703.640657
117	0.1088819634	1701.45841
118	0.1087588511	1699.969334
119	0.1086075767	1698.240961
120	0.1084744633	1696.097182
121	0.1083059006	1693.263237
122	0.1081983495	1691.821288
123	0.1080386941	1688.74135
124	0.1078910988	1687.068742
125	0.1077859424	1684.938508
126	0.1076920887	1683.361392
127	0.1075501305	1680.561081
128	0.1074113877	1678.564541
129	0.1073194847	1677.291383
130	0.1072315775	1675.90091
131	0.1071558254	1673.951968
132	0.1069444069	1671.34229
133	0.1068344146	1669.500742
134	0.1067303952	1667.936123
135	0.1066329491	1666.407751
136	0.1065344218	1664.840577
137	0.1064315787	1663.18212
138	0.1063195262	1661.687299
139	0.1061659206	1659.417545
140	0.1060764358	1657.834589
141	0.1059696952	1656.374075
142	0.1058768764	1654.7527
143	0.1057736299	1653.252975
144	0.1057016612	1651.581003
145	0.105617485	1650.26083
146	0.105536087	1649.120021
147	0.1054189649	1647.13074
148	0.1053200285	1645.757555
149	0.1052272196	1644.342093
150	0.1050731851	1642.565812
151	0.1049891733	1641.249773
152	0.1048688369	1639.497576
153	0.1047456308	1637.411509
154	0.1046764538	1636.662376
155	0.1044884042	1633.666303
156	0.1043884613	1632.060395
157	0.1042836019	1629.682184
158	0.1041826646	1628.549082
159	0.1041072641	1627.399943
160	0.1040330712	1626.527337
161	0.1039402391	1625.338792
162	0.1038290281	1623.882678
163	0.1037422469	1622.606049
164	0.1035923855	1620.398937
165	0.1035291893	1619.525117
166	0.1034507288	1618.234318
167	0.1033797499	1617.382586
168	0.1033000611	1616.346512
169	0.1031957903	1614.588831
170	0.1030596935	1612.327326
171	0.1029735872	1610.845955
172	0.1028836954	1609.818156
173	0.1027919016	1608.368737
174	0.1027202191	1607.449784
175	0.1026427016	1606.158302
176	0.1025493202	1605.031234
177	0.1024970862	1604.194725
178	0.102426466	1603.285516
179	0.1023447062	1601.560436
180	0.1022968587	1600.863684
181	0.1022352771	1599.672312
182	0.1021976755	1598.974005
183	0.1020575695	1597.299802
184	0.1019863118	1596.230563
185	0.1019408643	1595.516435
186	0.1018679069	1593.970812
187	0.1017619616	1592.421198
188	0.1016338848	1590.381573
189	0.101471727	1587.937259
190	0.101387962	1586.537857
191	0.1013117903	1585.392324
192	0.1012283197	1584.291205
193	0.101143083	1582.427594
194	0.101073492	1581.141962
195	0.1009800465	1579.386166
196	0.1008736013	1578.172831
197	0.100810439	1577.178758
198	0.1007184959	1575.390857
199	0.100642878	1574.454384
200	0.1005653866	1573.530634
201	0.1004779221	1572.400044
202	0.1003934394	1571.35938
203	0.1002954679	1570.124102
204	0.100255304	1569.337196
205	0.1002043374	1568.469735
206	0.1000897616	1566.91765
207	0.1000391041	1566.019
208	0.09997057933	1565.039759
209	0.09988801976	1563.727087
210	0.09983541351	1562.021743
211	0.09976566673	1561.220619
212	0.09969638529	1560.472358
213	0.09961703775	1559.334508
214	0.09955606548	1558.375753
215	0.09950226579	1557.588969
216	0.09939994919	1556.003354
217	0.09931662435	1553.948654
218	0.09925313436	1552.595119
219	0.09921583149	1552.164625
220	0.09917267406	1551.28014
221	0.09912287698	1550.253876
222	0.09905342963	1549.456315
223	0.09898055689	1548.629192
224	0.09891152235	1547.720958
225	0.0988586694	1546.951488
226	0.09879985825	1546.158402
227	0.0987497235	1545.480053
228	0.09868155145	1544.092572
229	0.09862062301	1543.384843
230	0.09856696307	1541.772671
231	0.09853243207	1541.299203
232	0.09845438798	1540.164442
233	0.09840951305	1539.453008
234	0.09835251551	1538.659029
235	0.09829245736	1537.877722
236	0.09821273968	1536.294787
237	0.09816856361	1535.336436
238	0.09813568467	1534.701645
239	0.09807804529	1534.006608
240	0.09802084143	1533.295529
241	0.09798224076	1532.688908
242	0.09785929917	1530.635103
243	0.09782414842	1530.029571
244	0.09775705924	1529.268441
245	0.09766104562	1527.791871
246	0.09762330398	1527.305405
247	0.09756632469	1526.235764
248	0.09749080191	1525.088318
249	0.09745306173	1524.430873
250	0.09742480423	1524.089735
251	0.09735037685	1523.002206
252	0.09729418757	1521.473678
253	0.09724000042	1520.781836
254	0.09719416241	1519.413077
255	0.09711916693	1518.277839
256	0.09708640798	1517.921777
257	0.09702396154	1517.193727
258	0.09698021822	1516.354226
259	0.09693862085	1515.728249
260	0.09690001511	1515.237594
261	0.09684533129	1514.501955
262	0.0968142355	1513.933995
263	0.09675259665	1512.706484
264	0.09669683402	1511.827454
265	0.09665475398	1511.387501
266	0.0965742086	1510.322694
267	0.09651473349	1509.48403
268	0.0964512471	1508.700656
269	0.09641029393	1508.054086
270	0.09634579103	1507.269687
271	0.09627387048	1505.849246
272	0.09621574078	1504.352986
273	0.09616405903	1503.527441
274	0.09611467155	1502.094598
275	0.09606546527	1501.484425
276	0.09601836607	1500.896116
277	0.09597891222	1500.481637
278	0.09591505383	1499.399046
279	0.09586271209	1498.773239
280	0.0958172111	1498.252992
281	0.09574130094	1497.138072
282	0.09569306646	1495.69547
283	0.09563195162	1494.92237
284	0.0955837193	1494.335241
285	0.09552694496	1493.533747
286	0.09548632904	1492.978777
287	0.09546315442	1492.327999
288	0.09540490957	1491.090606
289	0.09536018565	1490.577369
290	0.09531311664	1489.753118
291	0.09523215314	1488.655127
292	0.09520052142	1488.166421
293	0.0951737946	1487.665481
294	0.09507861409	1486.297254
295	0.09504865596	1485.820659
296	0.09496791972	1484.240786
297	0.09490843837	1483.109337
298	0.09487458165	1482.513137
299	0.09483717421	1481.992887
300	0.0947861329	1480.114265
301	0.09473586859	1478.668395
302	0.09467359247	1477.851704
303	0.09462666732	1477.224016
304	0.09458454392	1475.997739
305	0.09454694468	1475.475058
306	0.0945000511	1474.79751
307	0.09445702482	1474.35821
308	0.09438637368	1473.465217
309	0.09432257465	1472.470419
310	0.09429039747	1472.118573
311	0.09423227886	1471.320068
312	0.09417045431	1470.483647
313	0.09412930361	1469.301781
314	0.09406749204	1468.522595
315	0.09404177698	1468.034455
316	0.09399362025	1466.441156
317	0.09392675903	1465.659474
318	0.09389493737	1465.283829
319	0.09385239325	1464.771867
320	0.09381446182	1464.261497
321	0.09379228104	1463.996875
322	0.09376627273	1463.690488
323	0.09372743815	1462.99432
324	0.09366307106	1462.184301
325	0.09363055067	1461.8279
326	0.09358580618	1461.148515
327	0.09355065656	1460.492703
328	0.0935221229	1460.06849
329	0.09348291147	1458.905137
330	0.09344127142	1457.853032
331	0.0933579967	1456.518692
332	0.09332120431	1455.969506
333	0.09329044997	1455.598392
334	0.09325552066	1455.154902
335	0.09321549827	1454.735035
336	0.09317267675	1453.852566
337	0.09311620157	1453.088597
338	0.0930776275	1452.282819
339	0.0930472001	1451.259162
340	0.09300376061	1450.493481
341	0.09294149713	1449.496006
342	0.09289047758	1448.719228
343	0.09284821372	1447.89784
344	0.0927880338	1447.016899
345	0.09273865139	1446.363692
346	0.09270514719	1445.985201
347	0.09266119298	1445.523457
348	0.0926384375	1445.254713
349	0.09260073464	1444.776695
350	0.09256518714	1444.361822
351	0.09252513782	1443.802803
352	0.09245341855	1442.778031
353	0.09242708749	1442.369714
354	0.09238184972	1441.701541
355	0.09234323588	1440.700781
356	0.09231250219	1440.029525
357	0.09227149069	1439.299218
358	0.0922279007	1438.666839
359	0.09219937487	1438.301643
360	0.09216684183	1437.881169
361	0.09210988687	1437.106576
362	0.09205276237	1436.343194
363	0.0920309442	1436.107001
364	0.09200452763	1435.542684
365	0.09196514337	1434.913643
366	0.09193005677	1434.540625
367	0.0919077186	1434.139713
368	0.09187875738	1433.657309
369	0.09182391031	1432.853533
370	0.09179101852	1432.343797
371	0.09175135972	1431.893847
372	0.09172866026	1431.502209
373	0.09169859351	1430.564194
374	0.09164071849	1429.744149
375	0.09158245563	1428.834438
376	0.09156323728	1428.468601
377	0.0915089094	1427.419528
378	0.09146494756	1426.784556
379	0.09143486497	1426.325481
380	0.09139629486	1425.806281
381	0.09134975793	1424.977518
382	0.09132824241	1424.606067
383	0.09126550204	1423.800915
384	0.0912349173	1423.063024
385	0.09119833252	1421.602395
386	0.09116445916	1421.131023
387	0.09113871833	1420.77889
388	0.09110922793	1420.390779
389	0.091055705	1419.687837
390	0.09102333181	1419.014876
391	0.0909891753	1418.586262
392	0.09095868974	1417.382067
393	0.09091166835	1416.315084
394	0.09087233194	1415.711544
395	0.09084509862	1415.350735
396	0.0908175013	1415.041765
397	0.09078898741	1414.440408
398	0.09074961335	1413.931695
399	0.09073138316	1413.664659
400	0.09070766278	1412.890888
401	0.09066383816	1412.074132
402	0.09062866848	1411.635726
403	0.09061299453	1411.309972
404	0.09056794104	1410.745931
405	0.09052735365	1410.102979
406	0.09050145819	1409.787397
407	0.09047169573	1409.382809
408	0.09044926414	1409.11774
409	0.09040136377	1408.456683
410	0.09038019666	1408.195651
411	0.09034346338	1407.603329
412	0.09031918021	1407.275943
413	0.09028537015	1406.72362
414	0.09025434595	1406.156492
415	0.09021340431	1405.575838
416	0.09019101046	1405.270768
417	0.09016525101	1404.668115
418	0.09012340372	1403.599187
419	0.09009973155	1403.24162
420	0.09007168783	1402.902603
421	0.09003951614	1402.043478
422	0.09001840416	1401.725577
423	0.09000338824	1401.428667
424	0.08997428628	1400.939029
425	0.08995271735	1400.660396
426	0.08990965687	1399.919229
427	0.0898825004	1399.119102
428	0.08985151056	1398.684337
429	0.08980067115	1398.033137
430	0.08975832238	1397.520217
431	0.08972625893	1397.102544
432	0.08968828309	1396.655219
433	0.08966702463	1396.154596
434	0.08963040149	1395.441842
435	0.08960716758	1394.887206
436	0.08958565419	1394.649327
437	0.08955954971	1394.350069
438	0.08953263941	1394.024511
439	0.08948856871	1392.958097
440	0.08947528216	1392.716553
441	0.08945002779	1391.826854
442	0.08941728819	1391.361886
443	0.08939325459	1390.885868
444	0.08936528774	1390.518912
445	0.08932139954	1389.845115
446	0.08928450611	1389.379777
447	0.08926877848	1389.203977
448	0.08923898231	1388.885638
449	0.08920952119	1388.479606
450	0.08917337032	1387.724243
451	0.08914593488	1386.819248
452	0.08910127072	1385.977196
453	0.08907458072	1384.788511
454	0.08903807516	1384.239541
455	0.089000378	1383.804319
456	0.08897032629	1383.440786
457	0.08893327101	1382.986302
458	0.08889852349	1382.572542
459	0.08887855538	1382.316439
460	0.08885099841	1381.97042
461	0.08882639893	1381.642297
462	0.08879028987	1380.873006
463	0.08876749408	1379.922118
464	0.08872486146	1379.248433
465	0.08868664814	1378.71631
466	0.08865451593	1378.344102
467	0.088637984	1378.170127
468	0.08860925086	1377.441773
469	0.08858548487	1377.145246
470	0.08856532616	1376.824353
471	0.08852751367	1376.025282
472	0.08851366826	1375.750473
473	0.0884966434	1375.490521
474	0.08846721286	1374.99358
475	0.08844879048	1374.656253
476	0.08842286403	1374.281883
477	0.08840269598	1374.059973
478	0.08837809733	1373.406797
479	0.08835263666	1372.705782
480	0.08831296225	1372.147793
481	0.08826953012	1371.267173
482	0.08824654266	1370.94117
483	0.08821902864	1370.376092
484	0.08819270559	1370.047099
485	0.08816522518	1369.713388
486	0.08813641275	1368.787762
487	0.08811037669	1368.480413
488	0.08809016233	1368.188643
489	0.08806819899	1367.628259
490	0.08803410232	1367.115889
491	0.08801093358	1366.812809
492	0.08798804037	1366.473177
493	0.08796576509	1366.209888
494	0.08793393725	1365.704471
495	0.08790548879	1365.272814
496	0.08787717838	1364.149533
497	0.08785360424	1363.863104
498	0.08782568063	1363.539529
499	0.08781110324	1362.954864
500	0.08777959559	1362.195178
501	0.08776206154	1361.971228
502	0.08774449481	1361.757636
503	0.08772412191	1361.189261
504	0.0876987412	1360.387878
505	0.08765982146	1359.939562
506	0.08762682286	1359.413972
507	0.08761269819	1359.252455
508	0.0875962836	1359.070944
509	0.08758540279	1358.954302
510	0.08756815918	1358.621478
511	0.08753976903	1358.144133
512	0.08750698004	1357.726791
513	0.08748998005	1357.482474
514	0.08747168856	1356.73636
515	0.08744738606	1356.37544
516	0.08741338079	1355.772033
517	0.08739347428	1355.472316
518	0.08736341969	1354.997605
519	0.08733564927	1354.669684
520	0.08731078498	1354.199443
521	0.08728018278	1353.725661
522	0.08724191765	1353.118588
523	0.08721181372	1352.693849
524	0.08719367469	1352.40344
525	0.08715972012	1351.577736
526	0.0871337556	1351.01971
527	0.08710947546	1350.719541
528	0.08708983386	1350.511834
529	0.08706889279	1350.203126
530	0.08705091857	1349.341444
531	0.08703769669	1349.195414
532	0.08701604391	1348.948716
533	0.08699068376	1348.60478
534	0.08696245217	1348.290716
535	0.08693862395	1347.940428
536	0.08691733892	1347.67479
537	0.08689369974	1347.370878
538	0.08688365519	1347.255122
539	0.08686700202	1346.905877
540	0.08684424508	1346.629134
541	0.08681846494	1346.235464
542	0.0867892695	1345.79955
543	0.08676332996	1345.38792
544	0.08674784374	1345.152881
545	0.08672673374	1344.678914
546	0.08669604479	1344.186969
547	0.08667869608	1343.869645
548	0.08665998007	1343.330923
549	0.08663624197	1342.974529
550	0.08661450342	1342.516085
551	0.08658094725	1342.11533
552	0.08655725113	1341.628581
553	0.08653028509	1341.226384
554	0.08651515689	1341.042317
555	0.08649616838	1340.804231
556	0.0864740198	1340.524211
557	0.08644906939	1339.859169
558	0.08641830178	1339.227392
559	0.08639702472	1338.502456
560	0.08637796113	1338.167242
561	0.08634660147	1337.485906
562	0.08632593334	1337.226208
563	0.0863056069	1337.007072
564	0.08629187562	1336.797739
565	0.08627573833	1336.633072
566	0.08625723505	1336.312375
567	0.08623542217	1335.973621
568	0.08621180015	1335.702063
569	0.08620200102	1335.554194
570	0.08617455909	1335.065321
571	0.0861511376	1334.793368
572	0.08611650809	1334.313083
573	0.086097209	1334.110153
574	0.08607352286	1333.820007
575	0.08604620488	1333.26486
576	0.08602877123	1333.037907
577	0.08600458487	1332.723453
578	0.08599457349	1332.464479
579	0.0859754346	1331.996672
580	0.0859593791	1331.750281
581	0.08594595779	1331.587714
582	0.0859280279	1331.397593
583	0.0858989337	1331.018589
584	0.08587244849	1330.675544
585	0.0858542965	1330.47761
586	0.08582834907	1329.859382
587	0.08580319253	1329.332672
588	0.08578827489	1329.081188
589	0.08577261956	1328.797873
590	0.08575695628	1328.601968
591	0.0857382673	1328.203599
592	0.0857176573	1327.559523
593	0.08570359063	1327.096508
594	0.08568516456	1326.884532
595	0.08565575591	1326.446928
596	0.08563772895	1326.197335
597	0.08562678302	1325.986948
598	0.08561292089	1325.790698
599	0.08559680441	1325.587416
600	0.08557807807	1325.318686
601	0.08554646044	1324.948786
602	0.08552841304	1324.569209
603	0.0855158587	1324.416384
604	0.08548718849	1323.862718
605	0.08546176989	1323.520294
606	0.0854463801	1322.904012
607	0.0854321155	1322.741886
608	0.08540854267	1322.427112
609	0.08538219116	1322.084541
610	0.08536395915	1321.798933
611	0.08533953098	1321.533331
612	0.08531771792	1321.270628
613	0.08530138848	1321.024938
614	0.08527830461	1320.705847
615	0.08525231527	1320.356347
616	0.0852385856	1320.189121
617	0.08521790208	1319.900302
618	0.0851918604	1319.439907
619	0.08517067826	1319.158959
620	0.08514060722	1318.665855
621	0.08511107415	1317.845166
622	0.08509421122	1317.4432
623	0.08507667636	1317.24953
624	0.08505974505	1316.725587
625	0.08505147391	1316.636747
626	0.08503591893	1316.007235
627	0.08501857763	1315.577084
628	0.08499998835	1315.370498
629	0.0849811229	1315.070303
630	0.08496133575	1314.710247
631	0.08493481267	1314.355061
632	0.08492070269	1314.130971
633	0.08489947262	1313.78011
634	0.08488921879	1313.662972
635	0.08486557961	1313.330861
636	0.08484604227	1313.069982
637	0.08483069058	1312.903806
638	0.08481767983	1312.730923
639	0.08480019997	1312.413591
640	0.08478200313	1312.170597
641	0.08474962116	1311.759853
642	0.08472033449	1311.291787
643	0.08469554239	1310.968515
644	0.08467614881	1310.588462
645	0.08465270139	1310.000294
646	0.08463674272	1309.723354
647	0.08462427932	1309.280651
648	0.08459868645	1308.897935
649	0.0845787386	1308.457012
650	0.08456423042	1308.284567
651	0.08454726675	1308.074254
652	0.08453037039	1307.69732
653	0.08450815856	1307.064515
654	0.08448649928	1306.474398
655	0.08447005756	1306.284163
656	0.08445700437	1306.12074
657	0.08444555118	1305.997122
658	0.08443064327	1305.747505
659	0.08441424297	1305.540029
660	0.08439009489	1305.240155
661	0.08437422547	1304.874137
662	0.08434955518	1304.47395
663	0.08432862961	1304.163962
664	0.08430581369	1303.895418
665	0.08429549076	1303.780228
666	0.08428240246	1303.277855
667	0.08426713411	1302.958891
668	0.08423941188	1302.578985
669	0.08421161993	1302.034743
670	0.08419858473	1301.858014
671	0.08418386478	1301.677467
672	0.0841656784	1301.453679
673	0.08414550403	1301.20847
674	0.08412414485	1300.938425
675	0.08411224932	1300.705566
676	0.08408836236	1300.362059
677	0.08407769036	1300.244639
678	0.08404659229	1299.842089
679	0.08403427961	1299.640726
680	0.08401542814	1299.211962
681	0.08400041909	1298.863378
682	0.08398424296	1298.405088
683	0.08397027759	1298.204268
684	0.08396022793	1298.083323
685	0.08394518079	1297.89209
686	0.0839225253	1297.571492
687	0.08390305799	1297.326961
688	0.08388982657	1296.738087
689	0.08387503307	1296.521895
690	0.08385557779	1296.189983
691	0.08384290451	1296.004764
692	0.08382632954	1295.569114
693	0.08380851522	1295.36189
694	0.08379724011	1295.113165
695	0.08377997902	1294.904339
696	0.08376208037	1294.652959
697	0.08372611683	1294.180673
698	0.08371491307	1293.995888
699	0.08370146972	1293.83702
700	0.08367684881	1293.523162
701	0.08365558705	1293.107813
702	0.08364070542	1292.906091
703	0.08362345642	1292.613791
704	0.08360819262	1292.450653
705	0.08359743807	1292.32756
706	0.08358101431	1292.124635
707	0.08356215933	1291.869795
708	0.08353982062	1291.580879
709	0.08352670132	1291.250439
710	0.08351188387	1291.098075
711	0.08349115402	1290.798668
712	0.08347618777	1290.568971
713	0.08346119406	1290.407654
714	0.08344522621	1290.179176
715	0.08343221818	1289.927742
716	0.08341095123	1289.483015
717	0.08340044833	1289.366676
718	0.08338962138	1289.260051
719	0.08337731133	1288.773173
720	0.08336006941	1288.478412
721	0.08333507818	1288.174018
722	0.0833147129	1287.812576
723	0.08329635537	1287.533391
724	0.08327640571	1286.970447
725	0.08326094644	1286.779403
726	0.08324593205	1286.464288
727	0.08323066964	1286.24735
728	0.08321894799	1286.103668
729	0.08320300496	1285.815048
730	0.08318212245	1285.475421
731	0.08316546629	1285.133983
732	0.08314605004	1284.818931
733	0.08313013484	1284.637791
734	0.08311119891	1284.391744
735	0.08308833836	1283.813246
736	0.08307495323	1283.594682
737	0.08305938448	1283.222327
738	0.08304243519	1283.035873
739	0.08303092737	1282.870686
740	0.08300466758	1282.4981
741	0.08299174838	1282.280225
742	0.08297604763	1282.052175
743	0.08296232861	1281.903355
744	0.08294333244	1281.674841
745	0.08292754591	1281.459726
746	0.08290647548	1281.092677
747	0.08289341323	1280.560534
748	0.08287800652	1280.091022
749	0.08285100887	1279.505239
750	0.08284190031	1279.275117
751	0.08282870871	1279.077562
752	0.0828096231	1278.621405
753	0.08279589141	1278.436654
754	0.08278745255	1278.291798
755	0.08277412226	1278.142673
756	0.08274969279	1277.476214
757	0.08273550042	1277.330182
758	0.08272013872	1277.121183
759	0.08271348568	1277.019371
760	0.08269445929	1276.611268
761	0.08268024996	1276.153081
762	0.08267061105	1276.04162
763	0.08264128796	1275.365268
764	0.08263035953	1274.969173
765	0.08260877518	1274.391304
766	0.08260124891	1274.307605
767	0.08258325219	1274.110922
768	0.08256841759	1273.892081
769	0.08254946682	1273.609405
770	0.08253531113	1273.393991
771	0.08251908682	1272.935633
772	0.08250912922	1272.814877
773	0.08249342752	1272.623715
774	0.08247888968	1272.454882
775	0.08245829452	1272.175609
776	0.08244421934	1272.014628
777	0.08243600916	1271.845985
778	0.08241802186	1271.543951
779	0.08240575178	1271.347475
780	0.08238910792	1271.044058
781	0.08237994977	1270.854372
782	0.08236038647	1270.630471
783	0.08235542498	1270.502215
784	0.08234320837	1270.339591
785	0.08232741875	1270.156397
786	0.08231003105	1269.945293
787	0.08229482598	1269.764801
788	0.08227752755	1269.305424
789	0.0822396062	1268.852752
790	0.08222377329	1268.496474
791	0.08221443355	1268.391553
792	0.0822070114	1268.291893
793	0.08218078576	1267.989356
794	0.08217151482	1267.77413
795	0.08215954369	1267.509821
796	0.08214265747	1267.229247
797	0.08211422183	1266.757602
798	0.0821028086	1266.550119
799	0.08209375226	1266.446337
800	0.08208417081	1266.323378
801	0.08206555757	1266.108209
802	0.08205690463	1265.943818
803	0.08204486923	1265.607301
804	0.08202916448	1265.416775
805	0.0820127388	1264.869253
806	0.08200256206	1264.770903
807	0.08198458393	1264.503778
808	0.08197012089	1264.295401
809	0.08194780221	1263.986952
810	0.08193129254	1263.80507
811	0.08191930063	1263.669926
812	0.08189487424	1263.261423
813	0.08188258484	1263.071155
814	0.08186208455	1262.540015
815	0.08185202497	1262.397538
816	0.08183664363	1262.182287
817	0.08183220414	1262.111251
818	0.08180852483	1261.839098
819	0.08179284925	1261.656217
820	0.08177920848	1261.515077
821	0.08176989075	1261.380438
822	0.08175172427	1261.127572
823	0.0817292021	1260.851066
824	0.08171368578	1260.624883
825	0.08170463498	1260.534751
826	0.08168789406	1260.318042
827	0.08167018011	1259.806113
828	0.08165188774	1259.603537
829	0.08163966227	1259.461402
830	0.08162807422	1259.267694
831	0.08161386084	1258.777316
832	0.08160089591	1258.646548
833	0.08158773517	1258.370078
834	0.08157657423	1258.206136
835	0.081561548	1258.009294
836	0.08153986966	1257.463887
837	0.08152998445	1257.190189
838	0.08152064707	1257.081331
839	0.08150382866	1256.710698
840	0.08148731067	1256.367831
841	0.08147590356	1256.249884
842	0.08146066349	1255.863621
843	0.08144434817	1255.664233
844	0.08142985547	1255.335881
845	0.08142063385	1255.216415
846	0.08140873187	1255.080011
847	0.08139960302	1254.980558
848	0.08138693423	1254.612784
849	0.08136580465	1254.400149
850	0.08135804577	1254.26019
851	0.08133627008	1253.940131
852	0.08132525485	1253.639054
853	0.08130561122	1253.339489
854	0.08129565874	1252.880791
855	0.08128077804	1252.353908
856	0.0812685563	1252.191931
857	0.08124854571	1251.963105
858	0.08123585115	1251.778235
859	0.08122358005	1251.469365
860	0.081216417	1251.340957
861	0.08118989478	1251.040459
862	0.08117953276	1250.920102
863	0.08116515185	1250.497632
864	0.08115474586	1250.317425
865	0.08113851323	1250.058832
866	0.08112904149	1249.899316
867	0.08111614548	1249.670908
868	0.08110344691	1249.515323
869	0.08109594915	1249.392017
870	0.08107933785	1249.185266
871	0.081071655	1249.096448
872	0.08105070393	1248.811544
873	0.08104084821	1248.718846
874	0.08102850759	1248.537421
875	0.08101794685	1248.378461
876	0.08100719238	1248.278048
877	0.08098874765	1248.02874
878	0.08097763638	1247.730516
879	0.08096434209	1247.588578
880	0.08095187161	1247.434378
881	0.08094095961	1247.321018
882	0.08092901745	1247.186415
883	0.08092078342	1246.99474
884	0.0809089713	1246.845458
885	0.08089241125	1246.673337
886	0.08087515478	1246.441214
887	0.0808557595	1246.114452
888	0.08084081849	1245.859352
889	0.08082934762	1245.528515
890	0.08081408887	1245.355142
891	0.08080969346	1245.300851
892	0.0807997446	1244.837567
893	0.0807886784	1244.579425
894	0.08077120364	1244.34244
895	0.08075953764	1244.083873
896	0.08074828892	1243.91766
897	0.0807406656	1243.818257
898	0.08072320156	1243.583687
899	0.08071627643	1243.470917
900	0.08070200747	1243.023713
901	0.0806893771	1242.866664
902	0.08068034913	1242.730708
903	0.08066512731	1242.559825
904	0.08064769802	1242.348162
905	0.08063221196	1242.132152
906	0.08062277949	1242.009764
907	0.08060722002	1241.832591
908	0.08058941402	1241.510024
909	0.08057735992	1241.375156
910	0.08056918979	1241.239114
911	0.08055466336	1241.067322
912	0.08054706454	1240.725146
913	0.08052128247	1240.331104
914	0.08050787391	1240.073636
915	0.0804949388	1239.887395
916	0.08048859501	1239.807033
917	0.08047419093	1239.609246
918	0.08046115389	1239.439016
919	0.08044825073	1239.26361
920	0.08043487973	1239.114851
921	0.08042599261	1238.793205
922	0.08041075538	1238.406086
923	0.08040079638	1238.286773
924	0.08038287832	1238.05258
925	0.08036808636	1237.8532
926	0.0803568736	1237.724083
927	0.08034795817	1237.392153
928	0.08033205856	1237.206107
929	0.08031970593	1237.046775
930	0.08031037818	1236.951151
931	0.08029565242	1236.697803
932	0.08029075701	1236.624499
