iter	Passed	Remaining
398	120578	182080
399	120760	181595
400	120958	181136
401	121143	180658
402	121312	180158
403	121505	179694
404	121708	179248
405	121910	178801
406	122102	178342
407	122470	178139
408	122677	177701
409	122877	177256
410	123124	176878
411	123320	176429
412	123531	176001
413	123728	175556
414	123915	175097
415	124100	174638
416	124311	174215
417	124536	173813
418	124768	173422
419	124965	172983
420	125162	172545
421	125348	172094
422	125550	171664
423	125746	171229
424	125922	170768
425	126120	170337
426	126329	169921
427	126502	169460
428	126710	169045
429	126953	168679
430	127200	168318
431	127413	167913
432	127602	167478
433	127799	167054
434	127985	166616
435	128194	166210
436	128375	165769
437	128587	165369
438	128782	164947
439	128977	164527
440	129179	164117
441	129393	163722
442	129586	163302
443	129791	162898
444	129978	162473
445	130156	162037
446	130343	161613
447	130540	161203
448	130739	160797
449	130933	160386
450	131123	159971
451	131321	159565
452	131481	159115
453	131675	158708
454	131860	158291
455	132025	157850
456	132186	157405
457	132358	156976
458	132537	156556
459	132725	156147
460	132910	155736
461	133098	155330
462	133260	154893
463	133484	154530
464	133671	154125
465	133864	153728
466	134034	153305
467	134230	152913
468	134411	152504
469	134592	152098
470	134785	151704
471	134968	151302
472	135156	150905
473	135337	150502
474	135507	150087
475	135698	149697
476	135884	149302
477	136069	148906
478	136272	148531
479	136466	148147
480	136645	147748
481	136827	147352
482	136989	146936
483	137163	146534
484	137336	146133
485	137511	145733
486	137725	145377
487	137916	144996
488	138107	144616
489	138310	144250
490	138494	143865
491	138713	143516
492	138873	143107
493	139065	142732
494	139227	142327
495	139400	141935
496	139576	141546
497	139765	141171
498	139958	140801
499	140134	140415
500	140311	140030
501	140478	139637
502	140657	139256
503	140837	138877
504	141017	138499
505	141208	138132
506	141402	137769
507	141702	137509
508	141956	137205
509	142132	136826
510	142334	136473
511	142504	136090
512	142679	135712
513	142857	135338
514	143036	134966
515	143198	134578
516	143376	134207
517	143552	133833
518	143722	133456
519	143919	133104
520	144103	132741
521	144276	132369
522	144439	131987
523	144612	131616
524	144790	131250
525	145012	130925
526	145209	130578
527	145395	130220
528	145575	129859
529	145781	129521
530	145980	129179
531	146173	128831
532	146362	128480
533	146551	128129
534	146734	127774
535	146927	127428
536	147100	127066
537	147291	126719
538	147489	126380
539	147674	126030
540	147867	125687
541	148064	125348
542	148244	124996
543	148437	124655
544	148615	124301
545	148824	123975
546	148989	123611
547	149160	123255
548	149355	122918
549	149539	122573
550	149705	122214
551	149912	121888
552	150095	121544
553	150278	121200
554	150441	120841
555	150626	120501
556	150804	120155
557	150967	119798
558	151144	119452
559	151337	119120
560	151528	118787
561	151704	118442
562	151871	118092
563	152060	117759
564	152253	117429
565	152448	117102
566	152634	116767
567	152810	116426
568	152998	116095
569	153203	115777
570	153418	115467
571	153592	115127
572	153773	114792
573	153938	114446
574	154109	114105
575	154296	113777
576	154503	113463
577	154709	113149
578	154887	112815
579	155075	112490
580	155263	112164
581	155455	111842
582	155620	111501
583	155808	111177
584	155983	110844
585	156177	110525
586	156375	110210
587	156549	109877
588	156745	109561
589	156910	109224
590	157089	108897
591	157422	108677
592	157644	108380
593	157839	108065
594	158027	107745
595	158208	107421
596	158387	107097
597	158578	106781
598	158747	106450
599	158954	106146
600	159151	105835
601	159327	105511
602	159515	105195
603	159720	104891
604	159913	104578
605	160122	104278
606	160313	103965
607	160608	103720
608	160786	103400
609	160981	103091
610	161168	102777
611	161332	102450
612	161517	102136
613	161720	101833
614	161892	101512
615	162081	101201
616	162255	100883
617	162440	100570
618	162636	100266
619	162825	99957
620	162998	99639
621	163196	99337
622	163372	99021
623	163564	98716
624	163762	98415
625	163953	98109
626	164138	97801
627	164335	97500
628	164512	97187
629	164716	96892
630	164915	96593
631	165094	96283
632	165269	95971
633	165484	95682
634	165683	95385
635	165853	95072
636	166042	94769
637	166311	94513
638	166588	94261
639	166860	94005
640	167152	93762
641	167394	93490
642	167634	93217
643	168044	93038
644	168454	92859
645	168688	92582
646	169004	92350
647	169245	92077
648	169411	91764
649	169625	91477
650	169867	91206
651	170214	90990
652	170526	90755
653	171405	90821
654	171660	90555
655	171880	90270
656	172162	90017
657	172398	89741
658	172633	89464
659	172883	89196
660	173129	88925
661	173389	88662
662	173607	88377
663	174270	88318
664	174559	88068
665	174795	87792
666	175886	87943
667	176451	87828
668	176717	87565
669	176979	87299
670	177226	87025
671	177527	86779
672	177778	86508
673	177995	86220
674	178283	85967
675	178634	85744
676	178934	85496
677	179158	85212
678	179373	84924
679	179592	84638
680	179796	84345
681	180049	84075
682	180282	83796
683	180543	83531
684	180778	83253
685	180988	82964
686	181179	82666
687	181405	82384
688	181630	82103
689	181835	81812
690	182134	81564
691	182343	81275
692	182570	80995
693	182757	80698
694	183039	80442
695	183225	80144
696	183428	79854
697	183608	79555
698	183807	79263
699	184038	78986
700	184243	78698
701	184569	78461
702	184799	78184
703	185063	77921
704	185256	77628
705	185436	77331
706	185851	77130
707	186162	76887
708	186363	76598
709	186580	76316
710	186776	76025
711	186957	75729
712	187156	75440
713	187328	75141
714	187539	74858
715	187766	74581
716	187967	74294
717	188252	74040
718	188462	73757
719	188683	73479
720	188858	73182
721	189064	72898
722	189294	72624
723	189478	72332
724	189691	72051
725	189878	71761
726	190073	71474
727	190257	71183
728	190438	70891
729	190618	70599
730	190803	70309
731	190993	70022
732	191164	69728
733	191350	69439
